disease_name,primary_dosha,secondary_dosha,body_attributes_imbalance,tissues_affected,main_healing_herb,herb_preparation,herb_vehicle,herb_action,diet_to_favor,diet_to_avoid,lifestyle_modification,recommended_yoga_pose,recommended_breathing_exercise,meditation_focus
infectious gastroenteritis,Pitta,Vata,"Drava, Sara",Annavaha Srotas,Kutaja,Arishta,Water,Grahi,"Buttermilk, Gruel","Spicy food, Alcohol, Red meat, Excessive salt",Hand hygiene,Shavasana,Anulom Vilom,Gut healing
pneumonia,Kapha,Pitta,"Guru, Drava",Pranavaha Srotas,Pushkarmoola,Churna,Honey,Shwasahara,"Light, warm food","Heavy dairy, Sweets, Fried food, Excessively cold items",Warm compress,Matsyasana,Deep breathing,Lung vitality
fungal infection of the hair,Kapha,Vata,"Kleda, Kandu",Rakta Dhatu,Neem,Taila,Internal/External,Krimighna,Bitter vegetables,"Heavy dairy, Sweets, Fried food, Excessively cold items",Scalp hygiene,Sarvangasana,Kapalbhati,Detox focus
sprain or strain,Vata,None,Shoola (Pain),Snayu (Ligaments),Shallaki,Vati/Lep,Warm Water,Shothahara,Anti-inflammatory diet,"Cold drinks, Dry snacks, Raw salads, Beans",Rest and RICE,Sukshma Vyayama,Bhramari,Tissue repair
spontaneous abortion,Vata,Pitta,"Chala, Ushna",Artava Dhatu,Ashoka,Ksheerpaka,Milk,Garbhasthapana,"Nutritious, cooling","Cold drinks, Dry snacks, Raw salads, Beans",Bed rest,Shavasana,Nadi Shodhana,Emotional support
gout,Vata,Rakta,"Tikshna, Ushna",Rakta Dhatu,Guduchi,Satva,Water,Raktaprasadana,"Barley, Old rice","Cold drinks, Dry snacks, Raw salads, Beans",Avoid high protein,Tadasana,Sheetali,Joint ease
marijuana abuse,Vata,Pitta,"Vikashi, Laghu",Manovaha Srotas,Brahmi,Ghrita,Milk,Medhya,Sattvic diet,"Cold drinks, Dry snacks, Raw salads, Beans",De-addiction therapy,Padmasana,Anulom Vilom,Mental clarity
arthritis of the hip,Vata,None,"Shita, Khara",Asthi-Sandhi,Nirgundi,Taila,Warm water,Vatashamana,"Warm, unctuous food","Cold drinks, Dry snacks, Raw salads, Beans",Avoid squatting,Setu Bandhasana,Anulom Vilom,Hip mobility
strep throat,Kapha,Pitta,"Shotha, Daha",Rasa Dhatu,Haridra,Gargle/Powder,Honey,Kanthya,Turmeric milk,"Heavy dairy, Sweets, Fried food, Excessively cold items",Warm salt gargles,Simhasana,Ujjayi,Throat chakra
injury to the arm,Vata,None,Bhanga (Fracture),Asthi Dhatu,Laksha,Churna,Milk,Asthi-sandhanaka,Calcium rich diet,"Cold drinks, Dry snacks, Raw salads, Beans",Immobilization,Prarthanasana,Anulom Vilom,Healing focus
liver disease,Pitta,None,"Ushna, Tikshna",Yakrit (Liver),Katuki,Churna,Water,Yakrit-uttejaka,"Bitter gourd, Papaya","Spicy food, Alcohol, Red meat, Excessive salt",Avoid alcohol/fat,Katichakrasana,Sheetali,Detoxification
bursitis,Vata,Kapha,Shotha (Swelling),Mamsa Dhatu,Punarnava,Kwatha,Water,Shothahara,Low salt diet,"Cold drinks, Dry snacks, Raw salads, Beans",Joint rest,Trikonasana,Bhramari,Swelling reduction
acute pancreatitis,Pitta,Kapha,"Ushna, Drava",Agnyashaya,Bhunimba,Kwatha,Water,Pachan,"Bland, low fat","Spicy food, Alcohol, Red meat, Excessive salt",Strict fasting initially,Shavasana,Sheetali,Internal calm
spinal stenosis,Vata,None,Sankocha (Narrowing),Majja Dhatu,Sahacharadi,Taila,Warm Milk,Vatanulomana,Vata-shaman diet,"Cold drinks, Dry snacks, Raw salads, Beans",Physiotherapy,Talasana,Anulom Vilom,Nerve space
eczema,Pitta,Kapha,"Kandu, Daha",Rakta Dhatu,Khadir,Arishta,Water,Kushthagna,"Bitter, light food","Spicy food, Alcohol, Red meat, Excessive salt",Avoid allergens/soap,Surya Namaskar,Bhastrika,Skin purity
injury to the leg,Vata,None,Abhighata,Mamsa Dhatu,Guggulu,Vati,Warm Water,Vedanasthapana,Nutritious proteins,"Cold drinks, Dry snacks, Raw salads, Beans",Elevation and rest,Janu Shirasasana,Nadi Shodhana,Lower body healing
benign prostatic hyperplasia (bph),Vata,Kapha,"Stambha, Guru",Mutravaha Srotas,Varuna,Kwatha,Water,Ashmarihara,Pumpkin seeds,"Cold drinks, Dry snacks, Raw salads, Beans",Bladder training,Paschimottanasana,Ujjayi,Urinary flow
noninfectious gastroenteritis,Vata,Pitta,"Laghu, Sara",Annavaha Srotas,Bilva,Churna,Buttermilk,Grahi,"Boiled water, Moong","Cold drinks, Dry snacks, Raw salads, Beans",Restful digestive system,Pavanamuktasana,Anulom Vilom,Abdominal peace
acute bronchiolitis,Kapha,Vata,Srotorodha,Pranavaha Srotas,Kantakari,Avaleha,Honey,Kasahara,Warm soups,"Heavy dairy, Sweets, Fried food, Excessively cold items",Warm environment,Ushtrasana,Kapalbhati,Airway opening
cholecystitis,Pitta,Kapha,"Tikshna, Guru",Pittashaya,Patola,Kwatha,Water,Pittasarak,"Fiber-rich, low fat","Spicy food, Alcohol, Red meat, Excessive salt",Weight management,Bhujangasana,Sheetali,Bile flow
anxiety,Vata,None,"Chala, Laghu",Manovaha Srotas,Jatamansi,Churna/Oil,Milk,Nidrajanaka,"Fresh, warm food","Cold drinks, Dry snacks, Raw salads, Beans",Regular routine,Shavasana,Brahmari,Grounding
obstructive sleep apnea (osa),Kapha,Vata,Srotorodha (Obstruction),Pranavaha Srotas,Vacha,Nasya,Honey,Lekhana,"Light dinner, Honey","Heavy dairy, Sweets, Fried food, Excessively cold items","Weight loss, Side sleeping",Sarvangasana,Ujjayi,Clear airways
concussion,Vata,None,"Chala, Sukshma",Majja Dhatu,Brahmi,Ghrita,Warm Milk,Medhya,Easy to digest foods,"Cold drinks, Dry snacks, Raw salads, Beans",Sensory rest,Shavasana,Nadi Shodhana,Brain recovery
dental caries,Kapha,Vata,Krimija,Danta (Teeth),Babool,Dantamanjan,Water,Krimighna,Avoid sugar,"Heavy dairy, Sweets, Fried food, Excessively cold items",Oil pulling (Gandusha),Simhasana,Sheetali,Oral health
problem during pregnancy,Vata,Pitta,Garbhini Vyadhi,Rasa Dhatu,Amalaki,Rasayana,Milk,Pustivardhaka,"Sattvic, nutritious","Cold drinks, Dry snacks, Raw salads, Beans",Gentle walking,Tadasana,Nadi Shodhana,Motherhood joy
sickle cell crisis,Vata,Rakta,"Ruksha, Chala",Rakta Dhatu,Manjistha,Kwatha,Water,Raktaprasadana,Hydrating foods,"Cold drinks, Dry snacks, Raw salads, Beans",Avoid extreme cold,Shavasana,Anulom Vilom,Blood oxygenation
chronic constipation,Vata,None,"Ruksha, Khara",Purishavaha Srotas,Triphala,Churna,Warm water,Anulomana,"Papaya, Fibrous veg","Cold drinks, Dry snacks, Raw salads, Beans",Regular bowel habits,Malasana,Kapalbhati,Elimination
sebaceous cyst,Kapha,Vata,Granthi,Meda Dhatu,Kanchanar,Guggulu,Warm water,Lekhana,Low fat diet,"Heavy dairy, Sweets, Fried food, Excessively cold items",Cleanliness,Paschimottanasana,Bhastrika,Cyst dissolution
psoriasis,Vata,Kapha,"Ruksha, Khara",Rakta Dhatu,Aragvadha,Phant,Water,Kushthagna,Bitter greens,"Cold drinks, Dry snacks, Raw salads, Beans",Moisturizing with oils,Surya Namaskar,Sheetali,Cellular renewal
depression,Kapha,Vata,"Tamas, Guru",Manovaha Srotas,Ashwagandha,Arishta,Water,Manoprasadana,"Fresh, colorful veg","Heavy dairy, Sweets, Fried food, Excessively cold items",Social engagement,Dhanurasana,Bhramari,Inner light
hyperemesis gravidarum,Pitta,Vata,"Tikshna, Drava",Annavaha Srotas,Laja,Sattu/Water,Honey,Chardinigrahana,"Dry snacks, Ginger tea","Spicy food, Alcohol, Red meat, Excessive salt",Frequent small sips,Shavasana,Sheetali,Nausea relief
pyogenic skin infection,Pitta,Kapha,Paka (Suppuration),Rakta Dhatu,Nimbi,Kwatha,Water,Raktashodhaka,Anti-inflammatory diet,"Spicy food, Alcohol, Red meat, Excessive salt",Antiseptic wash,Tadasana,Kapalbhati,Immune boost
personality disorder,Sattva/Rajas/Tamas,Vata,Manasika,Manovaha Srotas,Saraswatarishta,Arishta,Water,Medhya,Sattvic diet,"Highly processed food, Refined sugar, Artificial additives",Psychotherapy (Aashwasana),Padmasana,Anulom Vilom,Self-realization
developmental disability,Vata,Kapha,Buddhimandya,Majja Dhatu,Kalyanaka Ghrita,Ghrita,Milk,Medhya,Nutrient dense foods,"Cold drinks, Dry snacks, Raw salads, Beans",Occupational therapy,Vrikshasana,Nadi Shodhana,Cognitive growth
otitis media,Kapha,Pitta,"Srava, Shoola",Karna (Ear),Apamarga,Kshara Taila,Instillation,Karnashulahara,"Warm, light food","Heavy dairy, Sweets, Fried food, Excessively cold items",Avoid ear picking,Simhasana,Bhramari,Auditory health
seasonal allergies (hay fever),Kapha,Vata,"Chala, Drava",Pranavaha Srotas,Haridra Khanda,Granules,Warm Water,Kaphahara,"Spiced tea, Honey","Heavy dairy, Sweets, Fried food, Excessively cold items",Jala Neti,Surya Namaskar,Kapalbhati,Immune resilience
multiple sclerosis,Vata,Kapha,Majja-kshaya,Majja Dhatu,Guduchi,Rasayana,Water,Vatashamana,Nerve nourishing diet,"Cold drinks, Dry snacks, Raw salads, Beans",Gentle movement,Shavasana,Anulom Vilom,Nerve protection
urinary tract infection,Pitta,Vata,"Ushna, Tikshna",Mutravaha Srotas,Punarnava,Kwatha,Water,Mutrala,"Cranberry juice, Barley","Spices, Caffeine","Hygiene, Hydration",Bhujangasana,Sheetali,Bladder relaxation
acute stress reaction,Vata,None,"Chala, Laghu",Manovaha Srotas,Ashwagandha,Arishta,Water,Nidrajanaka,"Warm milk, Almonds",Stimulants,"Routine, Nature walks",Shavasana,Brahmari,Present moment
vaginitis,Kapha,Pitta,"Picchila, Vidahi",Artavavaha Srotas,Triphala,Varti/Wash,Water,Kandughna,"Yogurt, Probiotics",Sugary foods,"Cotton clothes, Hygiene",Baddha Konasana,Anulom Vilom,Sacral healing
panic disorder,Vata,None,"Chala, Sukshma",Manovaha Srotas,Brahmi,Vati,Milk,Medhya,Warm oily food,"Cold drinks, Caffeine",Oil massage (Abhyanga),Vrikshasana,Nadi Shodhana,Grounding
actinic keratosis,Pitta,Vata,"Khara, Ushna",Rakta Dhatu,Manjistha,Lep,Aloe Vera,Raktaprasadana,Cooling foods,Direct sunlight,Sun protection,Tadasana,Sheetali,Cellular repair
degenerative disc disease,Vata,None,"Khara, Ruksha",Asthimajja Dhatu,Guggulu,Vati,Warm water,Sandhanaka,"Ghee, Warm milk",Dry foods,Posture correction,Setu Bandhasana,Anulom Vilom,Spine health
macular degeneration,Pitta,Vata,Drishti-kshaya,Netra (Eyes),Saptamrit Lauha,Churna,Ghee/Honey,Chakshushya,"Amla, Carrots, Ghee","Screen time, Smoking",Palming eyes,Trataka,Nadi Shodhana,Visual clarity
drug reaction,Pitta,None,"Vidahi, Tikshna",Rakta Dhatu,Sariva,Phant,Water,Vishagna,"Mung dal, Pomegranate","Sour, Spicy",Discontinue trigger,Shavasana,Sheetali,Detoxification
contact dermatitis,Pitta,Kapha,"Kandu, Shotha",Twak (Skin),Neem,Taila/Kwatha,Water,Kushthagna,Bitter vegetables,"Allergens, Soap",Avoid triggers,Surya Namaskar,Bhastrika,Skin purification
sinus bradycardia,Kapha,Vata,Manda (Slow),Hridaya (Heart),Arjuna,Ksheerpaka,Milk,Hridya,Warm spices,Heavy dairy,Light exercise,Trikonasana,Bhastrika,Heart rhythm
sepsis,Sannipata,Rakta,"Vidahi, Drava",Sarvadeha (Whole body),Guduchi,Satva,Water,Jwarahara,Light gruel,Heavy foods,Absolute rest,Shavasana,Anulom Vilom,Immune strength
eustachian tube dysfunction (ear disorder),Kapha,Vata,Srotorodha,Karna (Ear),Vacha,Nasya Oil,Honey or Warm water,Lekhana,"Warm food, Ginger",Cold drinks,Steam inhalation,Simhasana,Bhramari,Sound clarity
conjunctivitis,Pitta,Kapha,Netra Abhishyanda,Netra (Eyes),Triphala,Netra Seka,Rose Water,Chakshushya,Cooling diet,"Dust, Smoke",Eye hygiene,Trataka,Sheetali,Ocular calm
skin pigmentation disorder,Pitta,None,Vyanga,Bhrajaka Pitta,Bakuchi,Taila,Internal/External,Twachya,"Amla, Bitters","Sour, Salty food",Sunscreen use,Katichakrasana,Anulom Vilom,Skin tone balance
acute kidney injury,Pitta,Vata,Mutra-sangha,Vrikka (Kidney),Varuna,Kwatha,Water,Mutrala,"Low protein, Low salt",High potassium,Fluid monitoring,Paschimottanasana,Sheetali,Renal flow
pain after an operation,Vata,None,Shoola,Mamsa Dhatu,Shallaki,Vati,Warm water,Vedanasthapana,Easily digestible soup,Fiber-rich food,"Rest, Gentle breath",Shavasana,Bhramari,Surgical healing
stye,Pitta,Kapha,Anjananamika,Netra-vartma,Haridra,Lep,Water,Lekhana,Cooling diet,Touching eyes,Warm compress,Trataka,Anulom Vilom,Eyelid health
idiopathic irregular menstrual cycle,Vata,Pitta,Artava-vyapad,Artava Dhatu,Ashoka,Arishta,Water,Artavapravartini,Iron rich food,Fast food,Stress management,Baddha Konasana,Nadi Shodhana,Hormonal balance
hemorrhoids,Vata,Pitta,Arsha,Guda (Rectum),Suran,Vati/Food,Warm water,Arshoghna,"Fiber, Papaya, Buttermilk","Spicy food, Meat",Avoid straining,Pavanamuktasana,Ashwini Mudra,Pelvic health
herniated disk,Vata,None,Gridhrasi,Asthi-Majja Dhatu,Rasna,Sapti,Warm water,Vatashamana,"Warm, moist food",Heavy lifting,"Bed rest, Physio",Marjariasana,Anulom Vilom,Nerve decompression
heart attack,Pitta,Vata,Hridroga,Rasa-Rakta Dhatu,Arjuna,Ksheerpaka,Milk,Hridya,"Oats, Fruits, Garlic","Cholesterol, Salt",Cardiac rehab,Shavasana,Bhramari,Heart vitality
ear drum damage,Vata,None,Karnapatadi,Karna (Ear),Guggulu,Vati,Warm water,Sandhanaka,Soft foods,"Loud noise, Water in ear",Avoid ear buds,Simhasana,Anulom Vilom,Aural repair
brachial neuritis,Vata,None,Vishwachi,Majja Dhatu,Bala,Taila,Warm Milk,Vatashamana,Nerve nourishing diet,Repetitive arm motion,Gentle stretching,Tadasana,Anulom Vilom,Nerve conduction
acute sinusitis,Kapha,Vata,Pinasa,Nasa (Nose),Trikatu,Churna,Honey,Deepana/Pachana,"Warm fluids, Ginger","Dairy, Cold foods",Jala Neti,Adho Mukha Svanasana,Kapalbhati,Sinus drainage
acute bronchospasm,Vata,Kapha,Tamaka Shwasa,Pranavaha Srotas,Vasa,Avaleha,Honey,Shwasahara,Warm water,"Allergens, Cold air",Steam inhalation,Dhanurasana,Ujjayi,Bronchial ease
chronic obstructive pulmonary disease (copd),Kapha,Vata,Shwasa,Pranavaha Srotas,Kantakari,Grita,Warm water,Kasahara,"Light, warm food","Smoking, Pollution",Chest physiotherapy,Matsyasana,Deep breathing,Lung capacity
hiatal hernia,Vata,None,Udavarta,Annavaha Srotas,Hing,Vati/Food,Warm water,Vatanulomana,Small meals,"Overeating, Caffeine",Elevated sleep head,Vajrasana,Anulom Vilom,Diaphragm ease
idiopathic excessive menstruation,Pitta,None,Asrigdara,Rakta Dhatu,Lodhra,Kwatha,Honey,Stambhana,"Cooling, bitter food","Spicy, Salty food",Rest during cycle,Viparita Karani,Sheetali,Blood volume
blepharitis,Kapha,Pitta,Pakshmaroga,Netra (Eyes),Triphala,Grita,Honey/Milk,Lekhana,"Clean, light diet",Eye makeup,Lid hygiene,Trataka,Anulom Vilom,Lid inflammation
angina,Vata,Pitta,Hrit-shoola,Rasa Dhatu,Pushkarmoola,Churna,Warm water,Hridya,"Fiber-rich, low fat","Stress, Smoking",Regular walking,Shavasana,Bhramari,Coronary flow
idiopathic painful menstruation,Vata,None,Kashtartava,Artavavaha Srotas,Dashmoola,Kwatha,Water,Vedanasthapana,"Warm fluids, Ginger",Cold food,Warm compress,Balasana,Nadi Shodhana,Uterine ease
injury to the trunk,Vata,Pitta,Abhighata,Koshtha (Trunk),Laksha,Churna,Milk,Sandhanaka,Protein-rich diet,Physical exertion,Strict bed rest,Shavasana,Anulom Vilom,Core healing
allergy,Pitta,Kapha,Sheetapitta,Rakta Dhatu,Haridra Khanda,Granules,Warm Water,Kandughna,"Light food, Bitters",Allergens,Avoid cold exposure,Surya Namaskar,Bhastrika,Immune balance
threatened pregnancy,Vata,Pitta,Garbhasrava,Artava Dhatu,Garbhapala Ras,Vati,Milk,Garbhasthapana,"Milk, Ghee, Fruits",Physical strain,Absolute bed rest,Shavasana,Nadi Shodhana,Uterine stability
common cold,Kapha,Vata,Pratishyaya,Nasa (Nose),Tulsi,Tea,Honey,Kaphahara,"Warm water, Ginger","Curd, Sweets",Steam inhalation,Dhanurasana,Kapalbhati,Mucus clearance
asthma,Kapha,Vata,Tamaka Shwasa,Pranavaha Srotas,Bharangi,Grita/Churna,Honey,Shwasahara,"Warm, light meals","Pollution, Cold air",Avoid late dinner,Ushtrasana,Ujjayi,Breathing ease
kidney stone,Vata,Kapha,Ashmari,Mutravaha Srotas,Pashanbhed,Kwatha,Water,Ashmarihara,High water intake,Oxalate rich foods,Regular exercise,Dhanurasana,Anulom Vilom,Stone dissolution
croup,Kapha,Vata,Kantharoga,Pranavaha Srotas,Yastimadhu,Churna,Honey,Kanthya,Warm soups,Cold air exposure,Steam inhalation,Simhasana,Ujjayi,Throat relief
otitis externa (swimmer's ear),Pitta,Kapha,Karnashotha,Karna (Ear),Neem,Taila,External,Krimighna,Anti-inflammatory diet,Water in ear,Dry ear care,Simhasana,Bhramari,Ear canal health
gallstone,Pitta,Kapha,Pittashmari,Pittashaya,Katuki,Churna,Warm water,Pittasarak,"Low fat, High fiber",Fried foods,Maintain weight,Bhujangasana,Sheetali,Bile solubility
pyelonephritis,Pitta,Vata,Vrikka-shotha,Mutravaha Srotas,Gokshura,Kwatha,Water,Shothahara,Hydrating diet,"Salt, Protein",Bed rest,Shavasana,Sheetali,Renal cooling
cornea infection,Pitta,None,Shukra-roga,Netra (Eyes),Daruharidra,Anjana,Honey,Netrya,Cooling diet,"Dust, Direct light",Eye hygiene,Trataka,Anulom Vilom,Corneal repair
appendicitis,Pitta,Kapha,Antarapradaha,Annavaha Srotas,Kutaja,Vati,Water,Shothahara,Liquid diet,Solid foods,Surgical evaluation,Shavasana,Anulom Vilom,Intestinal calm
heart failure,Vata,Kapha,Hrid-balakshaya,Rasa Dhatu,Arjuna,Arishta,Water,Hridya,"Low salt, fiber diet",Fluid overload,Gradual activity,Shavasana,Bhramari,Heart strength
hypertensive heart disease,Vata,Pitta,Raktachapa,Rakta Dhatu,Sarpagandha,Vati,Milk,Hridya,Low sodium diet,"Stress, Alcohol",Weight management,Vajrasana,Nadi Shodhana,Blood pressure
rectal disorder,Vata,Pitta,Gudavikara,Purishavaha Srotas,Triphala,Gugulu,Warm water,Vatanulomana,High fiber diet,Straining,Sitz bath,Malasana,Ashwini Mudra,Rectal health
psychotic disorder,Sattva/Rajas/Tamas,Vata,Unmada,Manovaha Srotas,Saraswatarishta,Arishta,Water,Medhya,Sattvic foods,Substance abuse,Counselling,Padmasana,Anulom Vilom,Mental balance
neurosis,Vata,None,Atatvabhinivesha,Manovaha Srotas,Brahmi,Grita,Warm Milk,Medhya,"Warm, stable diet",Sensory overload,Yoga Nidra,Vrikshasana,Brahmari,Emotional stability
pelvic inflammatory disease,Pitta,Kapha,Shroni Shotha,Artavavaha Srotas,Kanchanar,Guggulu,Warm water,Shothahara,Anti-inflammatory diet,Poor hygiene,Safe practices,Baddha Konasana,Anulom Vilom,Pelvic cooling
chronic back pain,Vata,None,Kati-shoola,Asthi Dhatu,Yogaraja Guggulu,Vati,Warm water,Vedanasthapana,"Warm, oily food",Soft mattresses,Regular stretching,Marjariasana,Anulom Vilom,Lumbar health
temporary or benign blood in urine,Pitta,Vata,"Ushna, Tikshna",Mutravaha Srotas,Vasa,Swarasa,Honey,Raktapittahara,"Cooling drinks, Grapes",Spicy food,Hydration,Bhujangasana,Sheetali,Bladder cooling
skin polyp,Kapha,None,"Kathina, Guru",Mamsa Dhatu,Tankana,Lep,Honey,Lekhana,Light foods,Oily food,Local cleanliness,Surya Namaskar,Kapalbhati,Skin rejuvenation
diaper rash,Pitta,None,"Daha, Shotha",Twak (Skin),Coconut Oil,Local application,Ghee or Cooling water,Daha-prashamana,Mother's sattvic diet,Acidic foods,Frequent diaper change,Shavasana (Baby),Natural breath,Skin soothing
carpal tunnel syndrome,Vata,Kapha,"Stambha, Shoola",Snayu,Bala,Oil,Warm Milk,Vatashamana,"Warm, moist food",Cold exposure,Wrist exercises,Tadasana,Anulom Vilom,Nerve release
osteoarthritis,Vata,None,"Khara, Ruksha",Asthi-Sandhi,Shallaki,Vati,Warm water,Sandhishothahara,"Ghee, Warm milk",Dry beans,Joint support,Trikonasana,Anulom Vilom,Joint integrity
gum disease,Kapha,Pitta,"Srava, Shotha",Danta-mamsa,Triphala,Gargle,Warm water,Mukhashodhaka,"Clove, Turmeric",Sugar,Oil pulling,Simhasana,Sheetali,Oral hygiene
schizophrenia,Vata,Pitta,Unmada,Manovaha Srotas,Brahmi,Grita,Warm Milk,Medhya,Sattvic diet,Addictive substances,Therapeutic support,Padmasana,Brahmari,Reality grounding
ischemic heart disease,Vata,Kapha,Srotorodha,Hridaya,Arjuna,Ksheerpaka,Milk,Hridya,"Fiber, Garlic",Cholesterol foods,Walking,Shavasana,Bhramari,Myocardial flow
smoking or tobacco addiction,Vata,Pitta,Vyasana,Manovaha Srotas,Ajwain,Arka/Seeds,Water,Madanaka,"Sattvic, Fresh juices",Tobacco,Yoga therapy,Tadasana,Bhastrika,Lungs detox
fracture of the rib,Vata,None,Asthi-bhanga,Asthi Dhatu,Laksha,Guggulu,Milk,Sandhanaka,Calcium-rich diet,Physical strain,Rest,Shavasana,Nadi Shodhana,Structural repair
seborrheic dermatitis,Kapha,Pitta,Darunaka,Twak (Skin),Neem,Taila,External,Kandughna,"Light food, Bitters","Oily, Spicy food",Scalp hygiene,Sarvangasana,Kapalbhati,Scalp health
pulmonary embolism,Vata,Rakta,Srotorodha,Pranavaha Srotas,Guggulu,Vati,Warm water,Lekhana,"Light, warm food",High fat,Immediate medical care,Shavasana,Anulom Vilom,Circulatory flow
seborrheic keratosis,Vata,Kapha,Charmakila,Mamsa Dhatu,Haridra,Lep,Warm Milk or Sesame oil,Twachya,Antioxidant rich food,Processed sugar,Sun protection,Tadasana,Anulom Vilom,Skin health
dry eye of unknown cause,Vata,None,Rukshata,Netra (Eyes),Triphala Ghrita,Internal/Eye drop,Warm Milk,Chakshushya,"Ghee, Carrots",Excessive screen time,Frequent blinking,Trataka,Sheetali,Ocular moisture
bell palsy,Vata,None,Ardita,Majja Dhatu,Mashabaladi,Kwatha/Oil,Warm water,Vatashamana,"Warm, soft food",Cold wind exposure,Facial exercises,Simhasana,Anulom Vilom,Nerve restoration
neuralgia,Vata,None,Vata-shoola,Majja Dhatu,Ashwagandha,Taila,Warm Milk,Vedanasthapana,Nerve nourishing foods,Cold drinks,Warm compresses,Shavasana,Bhramari,Nerve calming
lipoma,Kapha,Meda,Granthi,Meda Dhatu,Kanchanar Guggulu,Vati,Warm water,Lekhana,"Low fat, high fiber",Fried foods,Exercise,Paschimottanasana,Bhastrika,Fat metabolism
acute otitis media,Kapha,Pitta,Karnashotha,Karna (Ear),Bilva,Taila,Instillation,Shothahara,"Warm, light foods",Cold liquids,Keep ear dry,Simhasana,Brahmari,Aural health
fungal infection of the skin,Kapha,None,Dadru,Twak (Skin),Chakramarda,Lep/Oil,Honey or Warm water,Krimighna,"Bitter, light foods","Sweet, fermented food",Personal hygiene,Surya Namaskar,Kapalbhati,Skin purity
iron deficiency anemia,Pitta,Vata,Pandu,Rakta Dhatu,Punarnava Mandura,Vati,Buttermilk,Raktavardhaka,"Pomegranate, Spinach",Excessive tea/coffee,Regular exercise,Vrikshasana,Anulom Vilom,Blood vitality
impetigo,Pitta,Kapha,Visarpa,Rakta Dhatu,Neem,Kwatha/Wash,Water,Raktashodhaka,"Cooling food, Bitters","Salty, Spicy",Wash linens regularly,Tadasana,Sheetali,Skin detox
