recommended_yoga_pose,sanskrit_name,steps,youtube_link,image_link,difficulty_level,breathing_pattern,contraindications,benefits,counter_pose,chakra_focus
Matsyasana,Matsyasana,"1. Lie on back. 2. Hands under hips. 3. Press forearms, lift chest. 4. Crown of head on floor. 5. Arch back.",https://www.youtube.com/results?search_query=Matsyasana+Fish+Pose+Yoga,https://upload.wikimedia.org/wikipedia/commons/1/14/Matsyasana.jpg,Beginner/Intermediate,Deep thoracic (chest) breathing; expand the ribcage fully.,"High or low blood pressure, migraine, or serious neck/back injury.","Stretches deep hip flexors, relieves neck tension, therapeutic for asthma.",Balasana,"Vishuddha, Anahata"
Mula Bandha,Mula Bandha,"1. Comfortable seat. 2. Inhale. 3. Contract pelvic floor. 4. Hold contraction. 5. Exhale, release.",https://www.youtube.com/results?search_query=Mula+Bandha+Yoga+Practice,,Intermediate,Hold breath out (Bahya Kumbhaka) or breathe normally while maintaining lock.,"Avoid during menstruation, intestinal ailments, or chronic constipation.","Strengthens pelvic floor, calms autonomic nervous system.",N/A,Muladhara
Padmasana,Padmasana,1. Sit in Dandasana. 2. Right foot on left thigh. 3. Left foot on right thigh. 4. Spine straight.,https://www.youtube.com/results?search_query=Padmasana+Lotus+Pose+Tutorial,https://upload.wikimedia.org/wikipedia/commons/a/a2/Padmasana.jpg,Advanced,"Slow, deep, and rhythmic; ideal for Pranayama (breath control).","Sciatica, ankle injury, or chronic knee pain.","Calms the brain, stimulates pelvis/spine, restores energy levels.",Dandasana,"Ajna, Sahasrara"
Paschimottanasana,Paschimottanasana,1. Sit legs straight. 2. Inhale arms up. 3. Exhale fold forward. 4. Hold feet. 5. Lengthen spine.,https://www.youtube.com/results?search_query=Paschimottanasana+Yoga+With+Adriene,https://upload.wikimedia.org/wikipedia/commons/6/69/Paschimottanasana.jpg,Beginner/Intermediate,Inhale arms up; exhale while hinging from the hips to fold forward.,"Slip disc, asthma, or diarrhea. Never force the forward bend.","Calms brain, relieves stress, stretches spine/shoulders/hamstrings.",Purvottanasana,"Muladhara, Manipura"
Pavanamuktasana,Pavanamuktasana,"1. Lie on back. 2. Exhale, knees to chest. 3. Clasp hands around shins. 4. Press thighs into abdomen.",https://www.youtube.com/results?search_query=Pavanamuktasana+Wind+Relieving+Pose,https://upload.wikimedia.org/wikipedia/commons/0/03/Pavanmuktasana.jpg,Beginner,Exhale while hugging knees to chest; inhale while releasing pressure.,"Heart problems, hyperacidity, high blood pressure, or hernia.","Cures gas/constipation, massages abdominal organs, strengthens back.",Shavasana,Manipura
Prarthanasana,Prarthanasana,1. Stand tall or sit. 2. Join palms at chest. 3. Press palms firmly. 4. Close eyes. 5. Focus inward.,https://www.youtube.com/results?search_query=Prarthanasana+Prayer+Pose,https://upload.wikimedia.org/wikipedia/commons/3/36/Anjali_Mudra.jpg,Beginner,"Natural, calm, and centered breathing.",No major contraindications; ensure balance if standing.,"Promotes balance, centers the mind, connects to heart center.",Tadasana,Anahata
Sarvangasana,Salamba Sarvangasana,1. Lie on back. 2. Lift legs and hips. 3. Support back with hands. 4. Straighten legs vertical. 5. Chin lock.,https://www.youtube.com/results?search_query=Sarvangasana+Shoulder+Stand+Yoga+With+Adriene,https://upload.wikimedia.org/wikipedia/commons/e/e1/Sarvangasana.jpg,Intermediate,Deep abdominal breathing (restricted by chin lock); focus on throat.,"Menstruation, high blood pressure, glaucoma, or neck injury.","Stimulates thyroid, calms brain, improves digestion, reduces fatigue.",Matsyasana,Vishuddha
Setu Bandhasana,Setu Bandha Sarvangasana,"1. Lie on back, knees bent. 2. Arms by sides. 3. Press feet, lift hips. 4. Clasp hands under back.",https://www.youtube.com/results?search_query=Setu+Bandhasana+Bridge+Pose+Yoga+With+Adriene,https://upload.wikimedia.org/wikipedia/commons/e/ec/Setu_Bandha_Sarvangasana.jpg,Beginner,Inhale while lifting the hips; keep the breath in the upper chest.,Neck injury or late-term pregnancy (unless using a bolster).,"Stretches chest/neck/spine, calms brain, stimulates thyroid.",Pavanamuktasana,"Anahata, Vishuddha"
Shavasana,Savasana,"1. Lie on back. 2. Arms by sides, palms up. 3. Legs extended. 4. Close eyes. 5. Completely relax.",https://www.youtube.com/results?search_query=Shavasana+Corpse+Pose+Yoga,https://upload.wikimedia.org/wikipedia/commons/3/3a/Savasana.jpg,Beginner,"Natural, effortless, and rhythmic; the 'breath of a sleeping child.'",Back pain (place bolster under knees). Side-lying is safer for pregnancy.,"Calms brain, relieves stress/depression, relaxes body.",N/A,"Sahasrara, All Chakras"
Shavasana (Baby),Ananda Balasana,1. Lie on back. 2. Bend knees into belly. 3. Grip outside of feet. 4. Open knees wider than torso.,https://www.youtube.com/results?search_query=Happy+Baby+Pose+Yoga,https://upload.wikimedia.org/wikipedia/commons/e/eb/Ananda_Balasana.jpg,Beginner,"Deep, expansive belly breathing to release the lower back.",Pregnancy (avoid lying flat after the first trimester) or knee injury.,"Gently releases hips/groin, calms brain, relieves lower back pain.",Shavasana,"Muladhara, Svadhisthana"
Simhasana,Simhasana,"1. Kneel. 2. Palms on knees, spread fingers. 3. Inhale. 4. Exhale with 'Ha', tongue out.",https://www.youtube.com/results?search_query=Simhasana+Lion+Pose+Yoga,https://upload.wikimedia.org/wikipedia/commons/6/61/Simhasana.jpg,Beginner,Inhale deep; Exhale forcefully through the mouth with a 'Ha' sound.,Knee injury (use a chair or different seated pose).,"Relieves tension in chest/face, clears throat/voice, helps bad breath.",N/A,Vishuddha
Sukshma Vyayama,Sukshma Vyayama,1. Toe/ankle rotation. 2. Knee/hip movement. 3. Wrist/shoulder rotation. 4. Neck movement. 5. Eye exercises.,https://www.youtube.com/results?search_query=Sukshma+Vyayama+Yoga,,Beginner,"Synchronize with movement; usually Inhale to expand, Exhale to contract.",Do not practice if experiencing acute inflammation in any joint.,"Loosens joints, improves circulation, removes energy blockages.",Shavasana,N/A
Surya Namaskar,Surya Namaskar,1. Pranamasana 2. Hasta Uttanasana 3. Padahastasana 4. Ashwa Sanchalanasana 5. Dandasana 6. Ashtanga Namaskara 7. Bhujangasana 8. Adho Mukha Svanasana 9. Ashwa Sanchalanasana 10. Padahastasana 11. Hasta Uttanasana 12. Pranamasana.,https://www.youtube.com/results?search_query=Surya+Namaskar+Step+By+Step,https://upload.wikimedia.org/wikipedia/commons/c/c5/Surya_Namaskar.svg,Intermediate,"12-step synchronization: Inhale (1-2), Exhale (3), Inhale (4), Exhale (5-6), Inhale (7), Exhale (8)...","Hernia, high blood pressure, or fever. Avoid during first 3 days of menses.","Full body workout, weight loss, cardiovascular health, improves digestion.",Shavasana,Manipura
Tadasana,Tadasana,"1. Stand feet together. 2. Ground feet. 3. Engage thighs. 4. Lengthen spine, shoulders back. 5. Arms by sides.",https://www.youtube.com/results?search_query=Tadasana+Mountain+Pose,https://upload.wikimedia.org/wikipedia/commons/2/2a/Tadasana.jpg,Beginner,"Even, steady breathing; feel the breath move from soles to crown.","Headache, insomnia, or low blood pressure (dizziness).","Improves posture, strengthens legs/ankles, firms abdomen.",N/A,Muladhara
Talasana,Talasana,"1. Stand in Tadasana. 2. Interlock fingers, palms up. 3. Inhale, stretch arms up and lift heels. 4. Balance on toes.",https://www.youtube.com/results?search_query=Talasana+Palm+Tree+Pose,,Beginner,Inhale while rising on toes and lifting arms; Exhale while lowering.,"Heart conditions, vertigo, or acute migraine.","Stretches vertical body, clears spinal nerves, helps height growth in kids.",Tadasana,"Muladhara, Sahasrara"
Trataka,Trataka,1. Sit in meditation pose. 2. Gaze at candle flame without blinking. 3. Close eyes when they water. 4. Visualize after-image.,https://www.youtube.com/results?search_query=Trataka+Meditation,https://upload.wikimedia.org/wikipedia/commons/c/c1/Candle_gazing.jpg,Beginner,Breath should be soft and almost imperceptible; do not hold the breath.,"Epilepsy, glaucoma, or serious psychiatric conditions.","Strengthens eye muscles, improves memory/concentration, cleanses tear ducts.",Palming,Ajna
Trataka (Gentle),Trataka,1. Sit comfortably. 2. Gaze at a dot or distant object. 3. Blinking is allowed. 4. Focus on stillness.,https://www.youtube.com/results?search_query=Gentle+Trataka,,Beginner,"Natural, steady, soft breathing.",Severe eye infections.,"Relaxes the eyes, builds focus, less intense than candle gazing.",Palming,Ajna
Trataka (Internal),Antar Trataka,1. Close eyes. 2. Visualize a point of light at the eyebrow center. 3. Hold focus steadily.,https://www.youtube.com/results?search_query=Antar+Trataka,,Intermediate,"Even, internal rhythmic breathing.",Severe psychiatric conditions.,"Develops intuition, intense concentration, prepares for meditation.",N/A,Ajna
Trikonasana,Utthita Trikonasana,"1. Wide stance. 2. Turn right foot 90°. 3. Arms parallel. 4. Reach right, drop hand to shin. 5. Left arm up.",https://www.youtube.com/results?search_query=Trikonasana+Triangle+Pose+Yoga+With+Adriene,https://upload.wikimedia.org/wikipedia/commons/4/4e/Trikonasana_Yoga-Asana_Aruna.jpg,Beginner,Inhale to prepare; Exhale as you reach down into the side bend.,"Migraine, low blood pressure, or neck injury (do not look up).","Stretches hips/groin/hamstrings, opens chest, relieves backache.",Parivrtta Trikonasana,Manipura
Ushtrasana,Ustrasana,"1. Kneel. 2. Hands on lower back. 3. Inhale, lift chest, arch back. 4. Reach hands to heels.",https://www.youtube.com/results?search_query=Ustrasana+Camel+Pose+Yoga+With+Adriene,https://upload.wikimedia.org/wikipedia/commons/7/77/Ustrasana.jpg,Intermediate,"Deep, rhythmic chest breathing; do not hold the breath while arched.","High/low BP, migraine, insomnia, or serious back/neck injury.","Stretches front body, strengthens back, stimulates thyroid.",Balasana,"Anahata, Vishuddha"
Vajrasana,Vajrasana,"1. Kneel. 2. Sit back on heels. 3. Toes touch, heels apart. 4. Spine straight, hands on thighs.",https://www.youtube.com/results?search_query=Vajrasana+Thunderbolt+Pose,https://upload.wikimedia.org/wikipedia/commons/a/a2/Vajrasana.jpg,Beginner,"Natural, slow, and deep; focus on the digestive fire (Agni).","Acute knee injury, ankle injury, or gout.","Aids digestion, relieves sciatica, calms mind.",Dandasana,"Manipura, Muladhara"
Viparita Karani,Viparita Karani,"1. Lie back, legs up wall. 2. Hips close to wall. 3. Arms by sides. 4. Relax completely.",https://www.youtube.com/results?search_query=Viparita+Karani+Legs+Up+The+Wall+Yoga,https://upload.wikimedia.org/wikipedia/commons/4/41/Viparita_Karani.jpg,Beginner,"Soft, rhythmic abdominal breathing to trigger the parasympathetic system.","Glaucoma, high blood pressure, or menstruation.","Relieves tired legs, calms anxiety, helps insomnia.",Shavasana,"Vishuddha, Svadhisthana"
Vrikshasana,Vrikshasana,1. Stand tall. 2. Place right foot on left inner thigh. 3. Hands in prayer. 4. Gaze at a fixed point.,https://www.youtube.com/results?search_query=Vrikshasana+Tree+Pose+Yoga+With+Adriene,https://upload.wikimedia.org/wikipedia/commons/2/2a/Vrksasana_Yoga-Asana_Aruna.jpg,Beginner,"Steady, focused breathing to maintain balance and stillness.","Migraine, insomnia, or high blood pressure (keep hands at chest).","Improves balance, strengthens legs/ankles, builds focus.",Tadasana,"Muladhara, Ajna"
Yoga Nidra,Yoga Nidra,1. Lie in Savasana. 2. Set intention. 3. Rotate consciousness through body. 4. Visualization.,https://www.youtube.com/results?search_query=Yoga+Nidra+Guided+Meditation,,Beginner,"Effortless, natural breathing; no conscious control of the breath.",Severe clinical depression or trauma.,"Deep relaxation, reduces stress/anxiety, improves sleep quality.",N/A,"Sahasrara, All Chakras"
